Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
1227,166.34,218,42,278.0,22.0,240.69,49.61
1228,166.44,454,549,-229.0,-214.0,-1130.81,-612.30
1229,166.59,40,536,-216.0,200.0,-154.80,733.07
1230,166.74,63,558,-238.0,177.0,-220.05,110.60
1231,166.89,61,573,-253.0,179.0,-222.00,145.81
1232,167.04,169,42,278.0,71.0,906.82,-82.40
1233,167.21,444,487,-167.0,-204.0,-675.87,-498.31
1234,167.36,432,493,-173.0,-192.0,-146.16,-138.09
1235,167.49,417,499,-179.0,-177.0,-152.72,-117.79
1236,167.65,396,494,-174.0,-156.0,-132.87,-98.22
1237,167.80,349,488,-168.0,-109.0,-126.71,-26.98
1238,167.96,325,491,-171.0,-85.0,-140.54,-38.08
1239,168.09,378,464,-144.0,-138.0,-72.37,-194.48
1240,168.20,432,420,-100.0,-192.0,0.85,-252.82
1241,168.33,40,22,298.0,200.0,862.01,774.21
1242,168.45,62,26,294.0,178.0,228.66,106.43
1243,168.58,294,626,-306.0,-54.0,-1166.62,-399.64
1244,168.69,468,202,118.0,-228.0,840.50,-488.58
1245,168.82,453,214,106.0,-213.0,65.43,-146.19
1246,168.94,442,230,90.0,-202.0,45.67,-143.50
1247,169.06,438,238,82.0,-198.0,52.32,-151.76
1248,169.18,446,243,77.0,-206.0,53.49,-177.77
1249,169.36,437,269,51.0,-197.0,11.50,-147.46
1250,169.47,421,286,34.0,-181.0,-4.69,-114.78
1251,169.61,420,292,28.0,-180.0,13.82,-142.57
1252,169.72,434,283,37.0,-194.0,45.01,-179.17
1253,169.85,444,273,47.0,-204.0,53.11,-178.71
1254,169.96,449,261,59.0,-209.0,69.55,-176.51
1255,170.09,453,248,72.0,-213.0,77.02,-176.38
1256,170.20,450,246,74.0,-210.0,62.82,-162.56
1257,170.33,455,259,61.0,-215.0,28.76,-179.71
1258,170.47,462,261,59.0,-222.0,44.30,-187.76
1259,170.62,456,237,83.0,-216.0,99.17,-164.61
1260,170.73,447,223,97.0,-207.0,101.59,-150.18
1261,170.85,452,215,105.0,-212.0,98.00,-178.35
1262,171.00,463,216,104.0,-223.0,81.85,-193.21
1264,171.29,313,9,311.0,-73.0,391.90,45.29
1265,171.41,283,15,305.0,-43.0,234.34,13.89
1266,171.53,17,109,211.0,223.0,12.95,619.41
1267,171.66,453,175,145.0,-213.0,9.97,-870.81
1268,171.77,432,278,42.0,-192.0,-142.27,-117.74
1269,171.90,385,286,34.0,-145.0,14.65,-42.26
1270,172.01,330,271,49.0,-90.0,65.41,24.09
1271,172.16,301,280,40.0,-61.0,19.43,-8.31
1272,172.30,252,320,0.0,-12.0,-56.31,59.38
1273,172.42,194,347,-27.0,46.0,-68.24,136.98
1274,172.54,164,329,-9.0,76.0,22.41,110.16
1275,172.65,179,311,9.0,61.0,38.70,22.55
1276,172.77,258,324,-4.0,-18.0,-25.98,-152.84
1277,172.91,301,350,-30.0,-61.0,-60.84,-109.73
1278,173.02,298,377,-57.0,-58.0,-93.57,-41.07
1279,173.15,288,379,-59.0,-48.0,-50.31,-22.86
1280,173.25,228,378,-58.0,12.0,-44.40,129.59
1281,173.38,170,362,-42.0,70.0,-9.19,144.50
1282,173.51,177,359,-39.0,63.0,-26.68,39.86
1283,173.64,191,379,-59.0,49.0,-77.86,17.74
1284,173.75,188,411,-91.0,52.0,-130.21,46.98
1285,173.87,169,429,-109.0,71.0,-118.62,89.96
1286,174.00,160,420,-100.0,80.0,-65.79,78.21
1287,174.13,140,418,-98.0,100.0,-75.37,110.35
1288,174.24,126,421,-101.0,114.0,-85.99,115.40
1289,174.38,141,411,-91.0,99.0,-58.02,57.02
1290,174.49,155,410,-90.0,85.0,-70.26,43.66
1291,174.60,158,410,-90.0,82.0,-72.00,60.17
1292,174.76,159,410,-90.0,81.0,-72.00,63.49
1293,174.88,169,408,-88.0,71.0,-67.24,41.00
1294,175.11,185,410,-90.0,55.0,-73.78,29.73
1295,175.30,185,410,-90.0,55.0,-72.00,44.00
1296,175.47,185,410,-90.0,55.0,-72.00,44.00
1297,175.68,185,410,-90.0,55.0,-72.00,44.00
1298,175.81,185,410,-90.0,55.0,-72.00,44.00
1299,175.96,123,494,-174.0,117.0,-249.95,175.35
1300,176.08,160,509,-189.0,80.0,-177.09,0.14
1301,176.20,191,515,-195.0,49.0,-165.77,-11.28
1302,176.32,203,504,-184.0,37.0,-129.42,10.21
1303,176.47,245,508,-188.0,-5.0,-155.89,-61.65
1304,176.59,368,525,-205.0,-128.0,-190.64,-295.11
1305,176.76,343,503,-183.0,-103.0,-119.97,-52.36
1306,176.90,375,500,-180.0,-135.0,-139.79,-152.89
1307,177.08,354,510,-190.0,-114.0,-163.73,-66.57
1308,177.24,346,527,-207.0,-106.0,-185.84,-75.27
1309,177.43,346,537,-217.0,-106.0,-184.58,-84.80
1310,177.56,328,542,-222.0,-88.0,-184.83,-44.37
1311,177.68,258,557,-237.0,-18.0,-214.46,101.63
1312,177.85,181,564,-244.0,59.0,-203.43,137.76
1313,177.98,114,556,-236.0,126.0,-175.92,208.66
1314,178.10,68,554,-234.0,172.0,-183.97,211.96
1315,178.23,32,565,-245.0,208.0,-213.82,224.74
1316,178.33,10,617,-297.0,230.0,-333.25,224.47
1317,178.46,20,10,310.0,220.0,1207.73,160.19
1318,178.58,34,19,301.0,206.0,226.26,142.18
